Tanggal ,Nama Barang,Jumlah
2/7/2024,Minyak Kita Pouch 2 Liter ,2
2/7/2024,Minyak Rizki Botol 900 gr,50
2/7/2024,Minya Sania Pouch 2 Liter,15
2/7/2024,Gula Rosebrand 1 Kg ,10
2/7/2024,Minyak Kita Pouch 1 Liter,3
2/7/2024,Minyak Kita Pouch 2 Liter ,2
2/7/2024,Sun Kara ,25
2/7/2024,Minyak Sania Pouch 1 Liter,10
2/8/2024,Sun Kara ,2
2/8/2024,Minyak Kita Pouch 2 Liter ,1
2/8/2024,Minyak Tropikal Botol 2 Liter ,35
2/8/2024,Minyak Tropikal 1 Liter,15
2/8/2024,Indomie Kari Ayam ,20
2/8/2024,Minyak Kita Pouch 1 Liter,10
2/8/2024,Minyak Kita Pouch 2 Liter ,5
2/8/2024,Beras Sania 5 Kg,15
2/8/2024,Beras SIIP 5 Kg ,10
2/8/2024,Minyak Kita Pouch 2 Liter ,30
2/8/2024,Indomie Goreng ,20
2/9/2024,Gula Gmp 1 Kg ,1
2/9/2024,Minyak Kita Botol 2 Liter,30
2/9/2024,Minyak Rizki Botol 900 gr,25
2/9/2024,Indomie Goreng ,10
2/9/2024,Minyak Kita Pouch 1 Liter,25
2/10/2024,Rosebrand 1 Kg,10
2/10/2024,Indocafe Mix ,2
2/10/2024,Gula Gmp 1 Kg ,1
2/11/2024,Minyak Kita Pouch 1 Liter,1
2/12/2024,Indomie Goreng ,15
2/13/2024,Minyak Kita Botol 2 Liter,35
2/13/2024,Minyak Rizki Botol 900 gr,15
2/13/2024,Indomie Goreng ,20
2/13/2024,Minyak Kita Botol 1 Liter ,2
2/14/2024,Minyak Kita Botol 2 Liter,1
2/14/2024,Indomie Kari Ayam ,15
2/14/2024,Indomie Soto,15
2/14/2024,Terigu Segitiga Ekonomis1/2 Kg,3
2/14/2024,Abc Susu,3
2/15/2024,Minyak Kita Pouch 1 Liter,20
2/15/2024,Rosebrand 1 Kg,10
2/15/2024,Indomie Ayam Bawang,1
2/16/2024,Indomie Goreng ,10
2/16/2024,Gula Gmp 1 Kg ,20
2/16/2024,Sun Kara ,10
2/16/2024,Terigu Segitiga Ekonomis1/2 Kg,2
2/16/2024,Minyak Sania Pouch 1 Liter,2
2/17/2024,Gulaku 1 Kg,2
2/17/2024,Indomie Soto,5
2/17/2024,Sun Kara ,5
2/17/2024,Gulaku 1 Kg,2
2/17/2024,Minyak Sunco Pouch 2 Liter,20
2/17/2024,Rosebrand 1 Kg,15
2/18/2024,Terigu Kunci Biru 1 Kg,10
2/18/2024,Minyak Kita Botol 1 Liter ,2
2/18/2024,Minyak Kita Botol 2 Liter,1
2/19/2024,Sun Kara ,15
2/19/2024,Minyak Sania Pouch 1 Liter,20
2/19/2024,Gulaku 1 Kg,15
2/20/2024,Minyak Kita Pouch 2 Liter ,35
2/20/2024,Minyak Kita Botol 1 Liter ,50
2/20/2024,Minyak Tropikal Botol 2 Liter ,50
2/20/2024,Minyak Rizki Botol 900 gr,50
2/20/2024,Indomie Goreng ,25
2/21/2024,Sun Kara ,30
2/21/2024,Rosebrand 1 Kg,10
2/21/2024,Indomie Kari Ayam ,15
2/21/2024,Abc Susu,5
2/22/2024,Indomie Goreng ,10
2/22/2024,Minyak Kita Pouch 1 Liter,10
2/22/2024,Minyak Kita Botol 2 Liter,2
2/22/2024,Gula Gmp 1 Kg ,1
2/23/2024,Minyak Rizki Botol 900 gr,15
2/23/2024,Minya Sania Pouch 2 Liter,10
2/23/2024,Indomie Kari Ayam ,20
2/23/2024,Indomie Soto,35
2/24/2024,Terigu Cakra Kembar 1 Kg,20
2/24/2024,Minyak Bimoli Botol 2 Liter,35
2/24/2024,Beras Sania 5 Kg,10
2/24/2024,Minyak Kita Pouch 1 Liter,3
2/24/2024,Minyak Kita Pouch 2 Liter ,2
2/25/2024,Minyak Tropikal Botol 1 Liter,25
2/25/2024,Minyak Tropikal Botol 2 Liter ,25
2/25/2024,Minyak Rizki Botol 900 gr,30
2/26/2024,Minyak Sunco Pouch 2 Liter,15
2/26/2024,Rosebrand 1 Kg,5
2/26/2024,Terigu Kunci Biru 1 Kg,5
2/26/2024,Rosebrand 1 Kg,10
2/26/2024,Minyak Rizki Botol 900 gr,30
2/26/2024,Beras SIIP 5 Kg ,10
2/27/2024,Minyak Rizki Botol 900 gr,20
2/27/2024,Abc Susu,4
2/28/2024,Indomie Kari Ayam ,2
2/28/2024,Indomie Soto,3
2/28/2024,Abc Susu,15
2/28/2024,Rosebrand 1 Kg,10
2/28/2024,Minyak Kita Pouch 2 Liter ,15
2/29/2024,Indomie Goreng ,50
2/29/2024,Minyak Rizki Botol 900 gr,20
2/29/2024,Minyak Tropikal Botol 1 Liter,30
2/29/2024,Gula Psm 1 Kg,15
